Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
AT&T,https://www.crunchbase.com/organization/at-t,,"Collaboration, Communications Infrastructure, Mobile, Service Industry, Telecommunications, Wireless","Dallas, Texas, United States","AT&T is a telecommunications company that provides wireless communications, internet and digital television services.",798,"Dallas/Fort Worth Metroplex, Southern US",Active,1983-10-05,day,1983-11-25,day,,,For Profit,https://www.att.com/,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services for consumers and businesses in the United States and internationally. The company offers its services in two segments, wireless and wireline. Its wireless segment offers various wireless voice, data, text, and other services. This segment sells various handsets, wirelessly enabled computers, and wireless data cards for personal computers through its owned stores, agents, and third-party retail stores. It also sells accessories comprising carrying cases, hands-free devices, batteries, battery chargers, and other items to consumers as well as to agents and third-party distributors. The company’s wireline segment provides data services such as switched and dedicated transport, DSL internet access, network integration, managed web hosting, packet, and enterprise networking services as well as local, interstate, and international wholesale networking capacity solutions to other service providers. This segment also offers voice services consisting of local and long-distance services, wholesale switched access services to other service providers, and outsourcing and integration services as well as CPE and government-related services.",,,,,"Hardware, Mobile, Other","Alexander Graham Bell, Gardiner Greene Hubbard, James Smiley, Thomas Sanders",3,IPO,2025-09-19,5000000000,USD,5000000000,Post-IPO Debt,,,,,,,,5044500000,USD,5044500000,"Citi, Bank of America, BNP Paribas, JPMorgan Chase & Co., Mizuho Financial Group",National Telecommunications and Information Administration,1,6
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,,"Aerospace, Cyber Security, Employment, Machinery Manufacturing, Manufacturing, Military, National Security, Remote Sensing, Security, Space Travel","Bethesda, Maryland, United States","Lockheed Martin is a global security and aerospace company that specializes in advanced technology systems, products, and services.",839,"Washington DC Metro Area, East Coast, Southern US",Active,1912-01-01,year,1995-03-24,day,,,For Profit,https://www.lockheedmartin.com,"Lockheed Martin Corporation is a global security company that engages in the research, design, development, manufacture, integration, and sustainment of technology systems and products. It also provides a range of management, engineering, technical, scientific, logistic, and information services. The company operates in four business segments aeronautics, electronic systems, information systems, global services, and space systems.",,,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Professional Services, Science and Engineering, Transportation","Allan Lockheed, Malcolm Lockheed",7,IPO,2025-12-05,3000000000,USD,3000000000,Post-IPO Debt,4400000,USD,4400000,Post-IPO Equity,4400000,USD,4400000,6062016440,USD,6062016440,"NYSERDA, Air Force Research Laboratory, United States Air Force",Air Force Research Laboratory,1,3
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,,"Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security, Network Security","Sunnyvale, California, United States","CrowdStrike is a cybersecurity technology firm that provides cloud-delivered protection for cloud workloads, identity, and data.",896,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2011-09-13,day,2019-06-12,day,,,For Profit,http://www.crowdstrike.com,"CrowdStrike is a global cybersecurity leader, and has redefined modern security with one of the world’s advanced cloud-native platforms for protecting critical areas of enterprise risk – endpoints and cloud workloads, identity, and data.",,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Dmitri Alperovitch, George Kurtz, Gregg Marston",9,IPO,2022-12-01,4600000,USD,4600000,Post-IPO Equity,4600000,USD,4600000,Post-IPO Equity,485600000,USD,485600000,1235600000,USD,1235600000,"Accel, General Atlantic, IVP, Warburg Pincus, ARK Investment Management","Accel, ARK Investment Management, CapitalG, General Atlantic, IVP",5,12
Mews,https://www.crunchbase.com/organization/mews-systems,,"Enterprise Software, Hospitality, Hotel, Property Management, Travel","Amsterdam, Noord-Holland, The Netherlands","Mews is a cloud-native hospitality management system designed to automate operations, enhance revenue, and improve guest experiences.","1,039","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2012-01-01,year,,,,,For Profit,https://www.mews.com,"Mews is a cloud-native hospitality platform that provides property management, guest services, payments, and operations tools in a unified system. It helps hotels, hostels, and accommodation groups automate reservations, check-in/out, rate and inventory management, housekeeping, and embedded payment processing through a single dashboard. The platform also supports integrations with a wide range of third-party applications and open APIs to extend functionality and adapt to specific business needs. Mews emphasizes an intuitive interface and automation to reduce manual tasks and enable staff to focus on guest interactions and operational workflows. The system includes tools for revenue management, point of sale, event management, and analytics for decision support. Mews serves over 5000 properties across more than 85 countries in all five continents, and works with a huge number of hospitality tech companies to provide hoteliers with an unbeatable platform – no other PMS offers as many integrations. At the 2024 HotelTechAwards, Mews was voted Best PMS by industry peers.",,,,,"Real Estate, Software, Travel and Tourism",Richard Valtr,10,Late Stage Venture,2026-01-22,300000000,USD,300000000,Series D,300000000,USD,300000000,Series D,717281931,USD,717281931,817281931,USD,817281931,"HarbourVest Partners, Atomico, Battery Ventures, Goldman Sachs, Notion Capital","Axivate Capital, Battery Ventures, Columbia Lake Partners, EQT Growth, Goldman Sachs, Kinnevik, Notion Capital, Salesforce Ventures, Tiger Global Management, Vista Credit Partners",10,20
Universal Music Group,https://www.crunchbase.com/organization/universal-music-group,,"Audio Recording and Production, Media and Entertainment, Music, Publishing","New York, New York, United States","Universal Music Group is a music-based entertainment company that offers music recording, publishing, and merchandising services worldwide.","1,195","Greater New York Area, East Coast, Northeastern US",Active,1934-09-01,month,2021-09-21,day,,,For Profit,https://www.universalmusic.com,"Universal Music Group offers music recording, publishing, and merchandising services worldwide. It discovers and develops songwriters, and owns and administers copyrights to musical compositions for use in recordings, public performances, and related uses such as films and advertisements; and sells artist and music branded products through multiple sales points including online, fashion retail, and live performances worldwide.",,,,,"Content and Publishing, Media and Entertainment, Music and Audio",,4,IPO,2023-06-06,750000000,EUR,802310655,Post-IPO Debt,3000000000,EUR,3677038366,Corporate Round,3000000000,EUR,3677038366,7250000000,EUR,8648532087,"Tencent, Tencent Music Entertainment, William Ackman","Tencent, William Ackman",2,3
Publicis Groupe,https://www.crunchbase.com/organization/publicis-groupe,,"Advertising, Marketing, Public Relations","Paris, Ile-de-France, France",Publicis Groupe is a digital and interactive communication services provider.,"1,212","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1926-01-01,year,1999-04-01,day,,,For Profit,https://www.publicisgroupe.com,"Publicis Groupe is now the 3rd largest communications group in the world. Through powerful alchemy of creativity and technology, they are driving business transformation across the entire value chain.",,,,,"Advertising, Sales and Marketing","Alberto Fusignani, Jack Klues",1,IPO,2025-06-04,1250000000,EUR,1427638161,Post-IPO Debt,,,,,,,,1250000000,EUR,1427638161,,,,
SK Hynix,https://www.crunchbase.com/organization/sk-hynix,,"B2B, Manufacturing, Semiconductor, Sensor","Icheon, Kyonggi-do, South Korea",SK Hynix is a manufacturing company that specializes in producing and selling semiconductor devices for various sectors.,"1,235",Asia-Pacific (APAC),Active,1983-02-01,day,1996-12-26,day,,,For Profit,http://www.skhynix.com,"SK Hynix is a manufacturing company that specializes in producing and selling semiconductor devices for various sectors. It has consistently led the industry with smaller, faster, and lower-power semiconductors.",,,,,"Hardware, Manufacturing, Other, Science and Engineering",Chung Ju-yung,4,IPO,2024-08-06,450000000,USD,450000000,Grant,,,,Post-IPO Equity,,,,2150000000,USD,2150000000,"KB Securities, U.S. Department of Commerce",U.S. Department of Commerce,1,2
Cisco,https://www.crunchbase.com/organization/cisco,,"Communications Infrastructure, Enterprise Software, Hardware, Information Technology, Infrastructure, Internet of Things, Network Hardware, Network Security, Software","San Jose, California, United States","Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other technology services and products.","1,280","San Francisco Bay Area, Silicon Valley, West Coast",Active,1984-12-01,day,1990-02-16,day,,,For Profit,http://www.cisco.com,"Cisco is a technology company specializing in networking hardware, software, and telecommunications equipment. The company continues to offer a wide range of networking solutions, including routers, switches, network security products, wireless and mobility solutions, collaboration tools, data center technologies, and more. Cisco's products and services are still used by businesses, organizations, service providers, and individuals to build and manage networks, facilitate communication, and enhance connectivity across various industries.",,Corporate Venture Capital,,,"Hardware, Information Technology, Internet Services, Other, Privacy and Security, Software","Dos Dosanjh, Leonard Bosack, Sandy Lerner",1,IPO,1987-01-01,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,2500000,USD,2500000,2500000,USD,2500000,Sequoia Capital,,,1
Tencent,https://www.crunchbase.com/organization/tencent,,"Advertising, Internet, Online Games, Online Portals, Social Media Marketing","Shenzhen, Guangdong, China","Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.","1,345",Asia-Pacific (APAC),Active,1998-11-01,day,2004-06-16,day,,,For Profit,https://www.tencent.com/,"Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services. Its communications and social platforms Weixin and QQ connect users with each other, with digital content and daily life services in just a few clicks.  Tencent has maintained steady growth under its user-oriented operating strategies. It provides value-added internet, mobile, and telecom services, as well as online advertising under the strategic goal of providing users with ""one-stop online lifestyle services."" Tencent’s Internet platforms in China – QQ (QQ Instant Messenger), WeChat, QQ.com, QQ Games, Qzone, 3g.QQ.com, SoSo, PaiPai, and Tenpay – aim to address the various needs of internet users, including communication, information, entertainment, e-commerce, and others. In September 2013, Tencent's market valuation rose to $101 billion, and as of November 21, 2013, QQ had 2 billion active users and WeChat had 650 million monthly active users. The numbers of active users for QQ mail, Qzone, Tencent Weibo, and QQ news were 274 million, 626 million, 220 million, and 150 million, respectively. Tencent was founded in November of 1998. In April 2000, the IDG and PCCW invested a total of $2.2 million dollars in the company. Tencent was listed on the Hong Kong Stock Exchange (SEHK) on June 16, 2004. Baidu, Alibaba, and Netease are Tencent's major competitors.",,,,,"Advertising, Gaming, Internet Services, Sales and Marketing","Charles Chen, Chenye Xu, Huateng Ma, Jason Zeng, Zhidong Zhang",7,IPO,2025-09-16,9000000000,CNY,1265048810,Post-IPO Debt,44350000,USD,44350000,Post-IPO Equity,76770000,USD,76770000,13841818810,USD,13841818810,"IDG Capital, Prosus, PCCW, Lippo Group",Lippo Group,1,4
Palantir Technologies,https://www.crunchbase.com/organization/palantir-technologies,,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Software, National Security, Software","Denver, Colorado, United States",Palantir Technologies is a software company that develops data analytics and data integration software solutions.,"1,357","Greater Denver Area, Western US",Active,2003-05-09,day,2020-09-30,day,,,For Profit,http://www.palantir.com,"Palantir Technologies offers a suite of software applications for integrating, visualizing, and analyzing information. Palantir software allows analysts within and between government organizations to collaborate and analyze large quantities of data. The company's software platforms are designed to help organizations, particularly in the fields of government, defense, finance, healthcare, and other industries, make sense of large and complex data sets.",,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software","Alexander Karp, Joe Lonsdale, Nathan Gettings, Peter Thiel, Stephen Cohen",29,IPO,2023-08-31,10080000,USD,10080000,Post-IPO Equity,10080000,USD,10080000,Post-IPO Equity,3019678765,USD,3019678765,3027970015,USD,3027970015,"Craft Ventures, Founders Fund, 137 Ventures, ARK Investment Management, Fifth Down Capital","Akkadian Ventures, ARK Investment Management, Founders Fund, Goldman Sachs, Kortschak Investments L.P., REV, Sompo Holdings",7,64
Micron Technology,https://www.crunchbase.com/organization/micron-technology,,"Computer, Hardware, Manufacturing, Semiconductor","Boise, Idaho, United States","Micron Technology is a semiconductor company that produces DRAM, SDRAM, flash memory, SSD and CMOS image sensing chips.","1,446",Western US,Active,1978-10-05,day,2010-01-15,day,,,For Profit,http://www.micron.com,"Micron manufactures DRAM components and modules and NAND Flash. For more than 30 years, Micron’s teams of dreamers, visionaries, and scientists have redefined innovation—designing and building some of the world’s most advanced memory and semiconductor technologies. They develop the technologies that transform what's possible. In fact, you likely use their memory every day—in products from computing, networking, and server applications, to mobile, embedded, consumer, automotive, and industrial designs. As one of the most prolific patent holders in the world they continually rethink, recast, and advance new ideas to bring innovation to broader markets and find ways their technology can inspire new applications or make fundamental improvements to existing designs. Their roots are in memory, the core strength of their business. As they look toward the future, they’ll continue to build on their past achievements by leveraging the synergies between their core memory business and diversified products and technologies that help drive innovation and growth in new markets.",,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Dennis Wilson, Doug Pitman, Joe Parkinson, Ward Parkinson",7,IPO,2025-04-24,1750000000,USD,1750000000,Post-IPO Debt,16000000,USD,16000000,Post-IPO Equity,50410400,USD,50410400,8900410400,USD,8900410400,"Gimv, U.S. Department of Commerce, Celtic House Venture Partners",U.S. Department of Commerce,1,3
Oracle,https://www.crunchbase.com/organization/oracle,,"Cloud Computing, Data Governance, Data Management, Enterprise Software, Hardware, Information Technology, SaaS, Software","Austin, Texas, United States",Oracle is an integrated cloud application and platform services that sells a range of enterprise information technology solutions.,"1,523",Southern US,Active,1977-06-16,day,1986-03-12,day,,,For Profit,https://www.oracle.com/,"Oracle is an integrated cloud application and platform services that sells a wide range of enterprise IT solutions. The company also offers software-as-a-service, platform-as-a-service, and infrastructure-as-a-service offerings. It also creates autonomous database to help organize and secure customers’ data.",,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Bob Miner, Ed Oates, JP Wiggins, Larry Ellison",4,IPO,2026-02-01,30000000000,USD,30000000000,Post-IPO Debt,,,,Venture - Series Unknown,,,,55750000000,USD,55750000000,"Sequoia Capital, HSBC, Citi, Deutsche Bank, Goldman Sachs","HSBC, JPMorgan Chase & Co., Sequoia Capital",3,7
Motorola Solutions,https://www.crunchbase.com/organization/motorola-solutions,,"Cyber Security, Telecommunications, Video","Chicago, Illinois, United States",Motorola Solutions creates mission-critical communication solutions and services for public safety and commercial customers.,"1,534","Greater Chicago Area, Great Lakes, Midwestern US",Active,1928-09-25,day,2007-02-22,day,,,For Profit,http://www.motorolasolutions.com,"Motorola Solutions, Inc. (NYSE: MSI) is a data communications and telecommunications equipment provider that succeeded Motorola Inc. following the spin-off of the mobile phones division into Motorola Mobility Holdings, Inc.",,,,,"Hardware, Information Technology, Media and Entertainment, Privacy and Security, Video",James O'Connor,1,IPO,2023-01-06,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,1000000000,USD,1000000000,"Silver Lake, Huawei",Silver Lake,1,2
