Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Website,Investor Type,Top 5 Investors,Lead Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Founders,Primary Industry,Primary Industry URL,Industry Groups
Alphabet,https://www.crunchbase.com/organization/alphabet,,"Artificial Intelligence (AI), Information Technology, Search Engine, Software, Video Streaming","Mountain View, California, United States","Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.","2,282",$10B+,https://abc.xyz,,,,50130240845,USD,50130240845,"Larry Page, Sergey Brin",,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software, Video"
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,,"Aerospace, Cyber Security, Machinery Manufacturing, Military, National Security, Remote Sensing, Security","Bethesda, Maryland, United States","Lockheed Martin is a global security and aerospace company that specializes in advanced technology systems, products, and services.","2,493",$10B+,https://www.lockheedmartin.com,,"NYSERDA, Air Force Research Laboratory, United States Air Force",Air Force Research Laboratory,6062016440,USD,6062016440,"Allan Lockheed, Malcolm Lockheed",,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering"
Kratos Defense and Security Solutions,https://www.crunchbase.com/organization/kratos-defense-and-security-solutions,,"Consulting, Cyber Security, Government, Information Technology, National Security, Public Safety, Satellite Communication, Security","San Diego, California, United States","Kratos Defense & Security Solutions provides mission critical engineering, IT services, and war fighter solutions.","3,162",$1B to $10B,http://www.kratosdefense.com,,United States Air Force,United States Air Force,2116799977,USD,2116799977,Masood Tayebi,,,"Government and Military, Hardware, Information Technology, Privacy and Security, Professional Services"
BAE Systems,https://www.crunchbase.com/organization/bae-systems,,"Aerospace, Manufacturing, Military, National Security, Navigation","London, England, United Kingdom","BAE Systems is an aerospace, defence, and information security company that provides advanced and technology-led solutions.","3,310",$10B+,http://www.baesystems.com,,"Scottish Enterprise, NYSERDA, U.S. Department of Defense, U.S. Department of Commerce, United States Navy","Scottish Enterprise, Solent Local Enterprise Partnership, U.S. Department of Commerce, U.S. Department of Defense",142270436,USD,142270436,,,,"Government and Military, Information Technology, Manufacturing, Navigation and Mapping, Science and Engineering"
ICEYE,https://www.crunchbase.com/organization/iceye,,"Aerospace, Remote Sensing, Satellite Communication","Espoo, Southern Finland, Finland","ICEYE operates a radar satellite constellation, providing all weather earth observation data and analytics for industries.","3,461",$100M to $500M,https://www.iceye.com,,"General Catalyst, Bpifrance, BlackRock, Draper Associates, Seraphim Space","Business Finland, Business Finland, DNX Ventures, General Catalyst, Seraphim Space, Solidium, True Ventures, Vinci",762387658,USD,762387658,"Pekka Laurila, Rafal Modrzewski",,,"Hardware, Science and Engineering"
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,,"Aerospace, Data Integration, Manufacturing, Remote Sensing, Security","Falls Church, Virginia, United States","Northrop Grumman is an aerospace, defense and security company that provides training and satellite ground network communications software.","3,840",$10B+,https://www.northropgrumman.com,,"U.S. Department of Defense, NASA","NASA, U.S. Department of Defense",3697600000,USD,3697600000,"Jack Northrop, Leroy Grumman",,,"Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software"
Glencore,https://www.crunchbase.com/organization/glencore,,"Agriculture, Enterprise Software, Marketing, Mineral, Natural Resources, Precious Metals, Sales","Baar, Zug, Switzerland","Glencore operates various commodity industries include coal, copper, cotton, grain and oilseeds, nickel and zinc.","3,874",$10B+,http://glencore.com,,Saudi EXIM,Saudi EXIM,300000000,USD,300000000,Marc Rich,,,"Agriculture and Farming, Natural Resources, Sales and Marketing, Software, Sustainability"
Origin Robotics,https://www.crunchbase.com/organization/origin-robotics,,"Aerospace, Government, Military, Robotics","Riga, Riga, Latvia",Defense technology company that specializes in advanced autonomous systems,"4,062",,https://origin-robotics.com/,,"Change Ventures, European Union, Silicon Roundabout Ventures","Change Ventures, European Union",8500000,EUR,9073817,"Agris Kipurs, Ilja Nevdahs",,,"Government and Military, Hardware, Information Technology, Science and Engineering, Software"
Palantir Technologies,https://www.crunchbase.com/organization/palantir-technologies,,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Software, Software","Denver, Colorado, United States",Palantir Technologies is a software company that develops data analytics and data integration software solutions.,"4,258",$1B to $10B,http://www.palantir.com,,"Founders Fund, Goldman Sachs, 137 Ventures, Friends & Family Capital, Fifth Down Capital","Akkadian Ventures, ARK Investment Management, Founders Fund, Goldman Sachs, Kortschak Investments L.P., REV, Sompo Holdings",3027970015,USD,3027970015,"Alexander Karp, Joe Lonsdale, Nathan Gettings, Peter Thiel, Stephen Cohen",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
ARX Robotics,https://www.crunchbase.com/organization/arx-49c3,,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Manufacturing, Robotics","München, Bayern, Germany",ARX Robotics is a defense startup that develops autonomous unmanned ground systems for military and civilian applications.,"4,299",,https://www.arx-robotics.com,,"Speedinvest, HV Capital, Robin Capital, Omnes Capital, NATO Innovation Fund","HV Capital, NATO Innovation Fund, Project A Ventures, Speedinvest",52150000,EUR,58986280,"Henrich Maximilian Wied, Marc A Wietfeld, Stefan Roebel",,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation"
Rolls-Royce,https://www.crunchbase.com/organization/rolls-royce-plc,,"Aerospace, Automotive, Energy, Industrial Manufacturing, Logistics, Machinery Manufacturing, Manufacturing","London, England, United Kingdom","Rolls-Royce provides aerospace engines, power systems, defense propulsion, marine solutions, and comprehensive MRO services.","4,530",$10B+,http://www.rolls-royce.com,,"UK Space Agency, United States Navy, BNF Resources, Exelon Generation Company","BNF Resources, Exelon Generation Company, UK Space Agency, United States Navy",276653559,USD,276653559,"Charles Rolls, Henry Royce",,,"Energy, Manufacturing, Science and Engineering, Transportation"
AMD,https://www.crunchbase.com/organization/amd,,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Computer, Embedded Systems, GPU, Hardware, Semiconductor","Santa Clara, California, United States","Advanced Micro Devices is a semiconductor company that designs and develops graphics units, processors, and media solutions.","4,560",$10B+,http://www.amd.com,,"OpenAI, KB Securities, Daniel Loeb","Daniel Loeb, OpenAI",,,,Jerry Sanders,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software"
Indra,https://www.crunchbase.com/organization/indra,,"Consulting, CRM, Information Services, Information Technology, Security, Service Industry","Madrid, Madrid, Spain","Indra is a technology and consulting company that offers solutions in information technology, defense, security, and transportation.","4,567",$1B to $10B,http://www.indracompany.com,,"European Investment Bank, JP Morgan Chase, Third Point","European Investment Bank, JP Morgan Chase, Third Point",653000000,EUR,738828696,,,,"Information Technology, Other, Privacy and Security, Professional Services, Sales and Marketing, Software"
L3Harris Technologies,https://www.crunchbase.com/organization/harris,,"Commercial, Information Technology, National Security","Melbourne, Florida, United States",L3Harris Technologies provides platform management system solutions for armed forces.,"4,756",$10B+,https://www.l3harris.com,,,,2250000000,USD,2250000000,"Frank Lanza, Robert LaPenta",,,"Government and Military, Information Technology, Other"
Qualcomm,https://www.crunchbase.com/organization/qualcomm,,"Artificial Intelligence (AI), Generative AI, Software, Telecommunications, Wireless","San Diego, California, United States","Qualcomm designs wireless technologies and semiconductors that power connectivity, communication, and smart devices.","4,772",$10B+,http://www.qualcomm.com,,,,3500000,USD,3500000,"Andrew Viterbi, Franklin P. Antonio, Frederic Rombaut, Irwin Jacobs",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software"
ASML,https://www.crunchbase.com/organization/asml,,"Commercial, Electronics, Hardware, Industrial, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Nanotechnology, Semiconductor, Software","Veldhoven, Noord-Brabant, The Netherlands",ASML is a manufacturer of chip-making equipment.,"4,929",$10B+,https://www.asml.com,,,,500000000,EUR,526457656,Martin van den Brink,,,"Consumer Electronics, Hardware, Manufacturing, Other, Science and Engineering, Software"
Rheinmetall,https://www.crunchbase.com/organization/rheinmetall,,"Aerospace, Manufacturing, Retail","Düsseldorf, Nordrhein-Westfalen, Germany",Rheinmetall specializes in security and mobility solutions.,"5,653",$10B+,http://www.rheinmetall.com,,Maine Technology Institute,Maine Technology Institute,1086092599,USD,1086092599,Heinrich Ehrhardt,,,"Commerce and Shopping, Manufacturing, Science and Engineering"
SAP,https://www.crunchbase.com/organization/sap,,"Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","Walldorf, Baden-Wurttemberg, Germany","SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.","6,017",$10B+,https://www.sap.com,,"Elliott Management Corp., EISMEA",Elliott Management Corp.,1301371240,USD,1301371240,"Andreas Neumeier, Claus Wellenreuther, Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Kaderjan Ilghar, Klaus Tschira",,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software"
Microsoft,https://www.crunchbase.com/organization/microsoft,,"Agentic AI, Application Performance Management, Artificial Intelligence (AI), Business Development, DevOps, Information Services, Information Technology, Management Information Systems, Network Security, Software","Redmond, Washington, United States","Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","6,048",$10B+,https://www.microsoft.com,,"Startmate, KB Securities, Technology Venture Investors",Technology Venture Investors,1000000,USD,1000000,"Bill Gates, Jiro Kobayashi, Luis J. Salazar, Paul Allen, Sarah Ahmad, Sarah Ashburn",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software"
Leonardo,https://www.crunchbase.com/organization/leonardo-bc38,,"Cyber Security, Electronics, Space Travel","Roma, Botosani, Romania",Leonardo is a security company that develops multi-domain technology capabilities for AD&S.,"6,133",$10B+,https://www.leonardo.com/en/home,,,,3800000000,EUR,4253040433,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Transportation"
Delian Alliance Industries,https://www.crunchbase.com/organization/lambda-automata,,"Artificial Intelligence (AI), Homeland Security, National Security","London, England, United Kingdom",Delian builds a new defense prime to protect the West and its allies in the era of autonomous warfare,"7,471",,https://www.delian.ai,,"Marathon Venture Capital, Nebular, Air Street Capital, HCVC, NATO DIANA","Air Street Capital, Marathon Venture Capital, NATO DIANA",21420896,USD,21420896,Dimitrios Kottas,Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Privacy and Security, Science and Engineering, Software"
BHP,https://www.crunchbase.com/organization/bhp-billiton-petroleum,,"Human Resources, Natural Resources, Oil and Gas","Melbourne, Victoria, Australia",BHP is an Anglo-Australian multinational mining and petroleum company headquartered in Melbourne and based in Australia.,"7,568",$10B+,https://www.bhp.com,,,,9167101460,USD,9167101460,Raymond Key,,,"Administrative Services, Energy, Natural Resources, Sustainability"
Roark Aerospace,https://www.crunchbase.com/organization/roark-aerospace,,"Drones, Manufacturing, Military","London, England, United Kingdom",Roark Aerospace are the world's largest deployer of counter drone hardware and the pioneers of drone detection as a service.,"8,333",,https://www.roark-aerospace.com/,,,,301800000,USD,301800000,,,,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Manufacturing"
Barrick Mining,https://www.crunchbase.com/organization/barrick-gold-corporation,,"Mineral, Mining, Precious Metals","Toronto, Ontario, Canada",Barrick Mining operates mines and advanced exploration and development projects on five continents,"8,700",$10B+,http://barrick.com,,Elliott Management Corp.,Elliott Management Corp.,4741114803,USD,4741114803,Peter Munk,,,Natural Resources
Saab,https://www.crunchbase.com/organization/saab,,"Aerospace, Automotive, Information Technology, Manufacturing, National Security, Security","Stockholm, Stockholms Lan, Sweden","Saab serves the global market with products, services, and solutions from military defence to civil security.","8,818",$1B to $10B,https://www.saab.com,,"Nordic Investment Bank, Sekunjalo Group, Canada's Ocean Supercluster, Vinnova, African Equity Empowerment Investments (AEEI)","African Equity Empowerment Investments (AEEI), Canada's Ocean Supercluster, Nordic Investment Bank, Vinnova",150658399,USD,150658399,"Axel Wenner-Gren, Marcus Wallenberg Jr., Sven Wingqvist",,,"Government and Military, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation"
Arondite,https://www.crunchbase.com/organization/arondite,,"Artificial Intelligence (AI), Information Technology, Software","London, England, United Kingdom","Arondite offers AI software to provide a unified connection across platforms, assets, robotic systems, autonomous systems and data.","9,584",,https://arondite.com,,"Index Ventures, Concept Ventures, Creator Fund, Chris Adelsbach","Concept Ventures, Creator Fund, Index Ventures",9250000,GBP,12047274,"Rob Underhill, Will Blyth",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Destinus,https://www.crunchbase.com/organization/destinus-34d1,,"Aerospace, Autonomous Vehicles, Military, Software","Katwijk, Zuid-Holland, The Netherlands",Destinus is a vertically integrated European manufacturer of flying systems for civil and military uses.,"10,344",,https://www.destinus.com,,"Commerzbank, Soma Capital, TA Ventures",Commerzbank,50000000,EUR,58624138,,,,"Government and Military, Information Technology, Science and Engineering, Software, Transportation"
Elbit Systems,https://www.crunchbase.com/organization/elbit-systems,,"Manufacturing, Quality Assurance, Security","Haifa, Hefa, Israel","Elbit Systems develops, manufactures, and integrates defense electronics and electro-optic systems for customers.","11,571",$1B to $10B,http://www.elbitsystems.com,,,,812043750,USD,812043750,"Michael Federmann, Ted Miller",,,"Manufacturing, Privacy and Security, Professional Services"
MP Materials,https://www.crunchbase.com/organization/mp-materials,,"Industrial, Mining, Sustainability","Las Vegas, Nevada, United States","MP Materials provides a sustainable, low-cost supply chain of coveted materials that help power the modern economy.","11,796",$100M to $500M,https://mpmaterials.com,,"JP Morgan Chase, U.S. Department of Defense, Government of United States of America, Sahsen Ventures, Department of Defense’s Office of Strategic Capital (OSC)","Chamath Palihapitiya, Department of Defense’s Office of Strategic Capital (OSC), Hancock Prospecting, JP Morgan Chase, Omega Advisors, Slate Path Capital, U.S. Department of Defense",2383500000,USD,2383500000,"James Litinsky, Michael Rosenthal",,,"Manufacturing, Natural Resources, Sustainability"
CODELCO,https://www.crunchbase.com/organization/codelco,,"Mining, Mining Technology, Precious Metals","Santiago, Region Metropolitana, Chile",CODELCO is a Chilean state owned copper mining company.,"12,655",$10B+,http://www.codelco.com/,,"HSBC, Santander, Bank of America, JP Morgan, Crédit Agricole","Banco Santander-Chile, Bank of America, Commerzbank, Crédit Agricole, Credit Agricole CIB, HSBC, JP Morgan, Santander",7782000000,USD,7782000000,Amin Akhtar,,,Natural Resources
Nordic Air Defence,https://www.crunchbase.com/organization/nordic-air-defence,,,"Segeltorp, Stockholms Lan, Sweden","NAD maintains democratic values, which are essential to both societal stability and human advancement in a world that is changing quickly.","14,334",$1M to $10M,https://www.nordicairdefence.com,,"Inflection, SNÖ Ventures, EUDIS Business Accelerator, Noam Perski, Gustav Wiberg","EUDIS Business Accelerator, Inflection, SNÖ Ventures",4372985,USD,4372985,"Karl Rosander, Oskar Heiwe",,,
Hindustan Aeronautics,https://www.crunchbase.com/organization/hindustan-aeronautics-limited,,"Aerospace, Industrial, Manufacturing","Bengaluru, Karnataka, India",Hal is an indian company that provides aeronautic services.,"14,864",$1B to $10B,https://hal-india.co.in,,,,,,,Walchand Hirachand,,,"Manufacturing, Science and Engineering"
Apple,https://www.crunchbase.com/organization/apple,,"Apps, Artificial Intelligence (AI), Broadcasting, Digital Entertainment, Foundational AI, Media and Entertainment, Mobile Devices, Operating Systems, TV, Wearables","Cupertino, California, United States","Apple is a technology company that designs, manufactures, and markets consumer electronics, personal computers, and software.","15,169",$10B+,https://www.apple.com,,"Sequoia Capital, Venrock, Matrix, Microsoft, Berkshire Hathaway","Berkshire Hathaway, Microsoft, Sequoia Capital",10665539030,USD,10665539030,"David Pakman, Ron Wayne, Steve Jobs, Steve Wozniak",,,"Apps, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Media and Entertainment, Mobile, Platforms, Science and Engineering, Software, Video"
Zijin Mining,https://www.crunchbase.com/organization/zijin-mining-group,,"Manufacturing, Mining, Precious Metals","Longyan, Fujian, China","Zijin Mining is a global mining group that offers exploration and mining of gold, copper, zinc and other mineral resources.","15,354",$10B+,https://www.zijinmining.com/,,,,4019482398,USD,4019482398,Jinghe Chen,,,"Manufacturing, Natural Resources"
Vale,https://www.crunchbase.com/organization/vale,,"Mining, Natural Resources, Precious Metals","Rio De Janeiro, Rio de Janeiro, Brazil","Vale is a mining company that produces iron ore, nickel, and other metals.","16,132",$10B+,http://www.vale.com,,"Public Investment Fund, Ma’aden, Japan Bank for International Cooperation, Cosan, Engine No. 1",Cosan,8884153528,USD,8884153528,,,,"Natural Resources, Sustainability"
Alpine Eagle,https://www.crunchbase.com/organization/alpine-eagle,,Software,"Munich, Bayern, Germany",Alpine Eagle is a mix of software and hardware focused on cost efficiency.,"16,346",,https://alpineeagle.com/,,"General Catalyst, HTGF (High-Tech Gruenderfonds), HCVC, IQ Capital, Expeditions",IQ Capital,10250000,EUR,11064132,"Jan Hendrik Boelens, Timo Breuer",,,Software
Broadcom,https://www.crunchbase.com/organization/broadcom,,"Mobile, Semiconductor, Wireless","Palo Alto, California, United States","Broadcom is a designer, developer, and global supplier of a broad range of analog and digital semiconductor connectivity solutions.","16,823",$10B+,http://www.broadcom.com,,"General American Investors Company,Inc",,,,,"Ford Tamer, Henry Nicholas, Henry Samueli",,,"Hardware, Mobile, Science and Engineering"
Comand AI,https://www.crunchbase.com/organization/comand-ai,,"Artificial Intelligence (AI), Government, Military, National Security, Software","Montréal, Quebec, Canada",Comand AI is a defense and security software developing AI-powered command solutions for defense operations.,"17,204",,https://comandai.net,,"Expeditions, Kima Ventures, Frst, Eurazeo, Shape VC","Eurazeo, Frst",12228670,USD,12228670,Loic Mougeolle,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software"
Albemarle,https://www.crunchbase.com/organization/albemarle,,"Chemical, Construction, Customer Service, Manufacturing, Pharmaceutical","Charlotte, North Carolina, United States","Albemarle is a specialty chemical company focused on lithium, bromine, and refining catalysts.","19,275",$1B to $10B,http://albemarle.com,,"US Department of Energy, U.S. Department of Defense, Australian Government","Australian Government, U.S. Department of Defense, US Department of Energy",2243673577,USD,2243673577,,,,"Health Care, Manufacturing, Other, Professional Services, Real Estate, Science and Engineering"
Thales Group,https://www.crunchbase.com/organization/thales-group,,"Aerospace, Cyber Security, Industrial Manufacturing, Military, Remote Sensing, Security, Transportation","Paris, Ile-de-France, France","Thales is a technology in the aerospace, transportation and defense and security markets.","19,504",$10B+,http://www.thalesgroup.com,,European Investment Bank,European Investment Bank,450000000,EUR,532103583,Chantell Johnson,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation"
Hensoldt,https://www.crunchbase.com/organization/hensoldt,,"Electronics, Security, Sensor","Taufkirchen, Bayern, Germany",Hensoldt is a globally leading supplier of premium sensors for security and surveillance missions.,"20,167",$1B to $10B,https://www.hensoldt.net/,,"Idinvest Partners, Leonardo Company","Idinvest Partners, Leonardo Company",846000000,EUR,992042544,Moritz Carl Hensoldt,,,"Consumer Electronics, Hardware, Privacy and Security"
Newmont,https://www.crunchbase.com/organization/newmont,,"Mineral, Mining, Mining Technology, Precious Metals","Greenwood Village, Colorado, United States","Newmont is a gold mining company that deals in mining gold and a producer of copper, silver, zinc, and lead.","20,359",$10B+,https://www.newmont.com,,,,5700000000,USD,5700000000,William Boyce Thompson,,,Natural Resources
