Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Number of Articles,Full Description,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Number of Investments,Number of Portfolio Organizations,Industry Groups,Primary Industry,Primary Industry URL,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Nominal,https://www.crunchbase.com/organization/nominal-3771,,"Analytics, Database, Information Technology, SaaS, Software, Test and Measurement","Austin, Texas, United States","Nominal develops software platforms that support hardware engineering teams with testing, monitoring, and analysis of operational data.","1,896",Southern US,78701,,,Active,2022-01-01,year,,,,,For Profit,https://www.nominal.io,52,"Nominal develops software platforms that support hardware engineering teams with testing, monitoring, and analysis of operational data. The company provides products such as Nominal Core and Nominal Connect, which capture and organize telemetry, logs, video, and simulation outputs from hardware systems into a unified data environment. Its software enables engineers to run automated tests, stream real-time data from instruments, and analyze system behavior during development, validation, and operational phases.",,,,,,,,,"Data and Analytics, Information Technology, Software",,,3,"Bryce Strauss, Cameron McCord, Jason Hoch",101-250,5,Early Stage Venture,2026-03-05,80000000,USD,80000000,Series B,80000000,USD,80000000,Series B,182500000,USD,182500000,182500000,USD,182500000,"General Catalyst, BoxGroup, Lightspeed Venture Partners, Sequoia Capital, Founders Fund","Founders Fund, General Catalyst, Lux Capital, Sequoia Capital",4,14
Taiwan Semiconductor Manufacturing Company,https://www.crunchbase.com/organization/tsmc,,"Consumer Electronics, Electronics, Manufacturing, Product Design, Semiconductor","Hsinchu, T'ai-wan, Taiwan",TSMC is a semiconductor manufacturer that offers wafer production processing and dedicated IC foundry.,"2,660",Asia-Pacific (APAC),300-78,,$10B+,Active,1987-01-01,day,1994-09-05,day,,,For Profit,http://www.tsmc.com,"6,794","Taiwan Semiconductor Manufacturing Company provides semiconductor manufacturing and related technology services to global technology firms. It produces integrated circuits through a dedicated foundry model, offering wafer fabrication across a range of process technologies and advanced packaging services for customers in computing, mobile, automotive, and connected devices. The company supports design enablement and mask services to help partners optimize chip designs for production and integrates diverse process solutions, including logic and specialty technologies. It operates multiple fabrication facilities and maintains engineering and customer support functions to fulfill production requirements.",,,2,6,,1,7,7,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering",,,1,Morris Chang,10001+,5,IPO,2026-05-14,18400000000,TWD,582780115,Post-IPO Debt,4100000000,USD,4100000000,Post-IPO Equity,4100000000,USD,4100000000,14782780115,USD,14782780115,"Berkshire Hathaway, U.S. Department of Commerce, CID Group","Berkshire Hathaway, U.S. Department of Commerce",2,3
State Street,https://www.crunchbase.com/organization/state-street-corporation,,"Banking, Finance, Financial Services","Boston, Massachusetts, United States","State Street offers a range of financial services, including investment management, research and trading, as well as asset management.","3,721","Greater Boston Area, East Coast, New England",02114-2016,,$10B+,Active,1792-01-01,year,1983-03-25,day,,,For Profit,https://www.statestreet.com/,935,"State Street is a financial services company that serves sophisticated institutions. State Street provides a range of financial services, including investment management, research, trading, and custodial services to institutional investors. The company is known for its role in servicing and safeguarding assets for a wide array of clients, including mutual funds, pension funds, and other institutional investors.",,,1,4,1,7,29,19,"Financial Services, Lending and Investments",,,,,10001+,10,IPO,2026-04-24,1500000000,USD,1500000000,Post-IPO Debt,750000000,USD,750000000,Post-IPO Equity,750000000,USD,750000000,13553500000,USD,13553500000,"Siebert Williams Shank, Independence Point Advisors, CAVU Securities",,,3
Epirus,https://www.crunchbase.com/organization/epirus,,"Aerospace, Drone Management, Drones, Energy Management, Machinery Manufacturing, Military, Software","Torrance, California, United States",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,"3,732","Greater Los Angeles Area, West Coast, Western US",,,,Active,2018-01-01,year,,,,,For Profit,https://www.epirusinc.com,71,"Epirus develops solid-state, software-defined directed energy systems for counter-electronics applications and power management in defense and commercial sectors. The company specializes in long-pulse high-power microwaves combined with AI and advanced electronics for electronic warfare.",,,1,1,,1,1,1,"Consumer Electronics, Consumer Goods, Energy, Government and Military, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",,,5,"Bo Marr, Grant Verstandig, John Tenet, Max Mednik, Nathan Mintz",251-500,6,,2025-10-09,,,,Corporate Round,,,,Corporate Round,537388878,USD,537388878,537631878,USD,537631878,"Gaingels, 8VC, I Squared Capital, National Science Foundation, Washington Harbour Partners","8VC, Bedrock, M42, National Science Foundation, T. Rowe Price, Washington Harbour Partners",6,28
Hadean,https://www.crunchbase.com/organization/hadean,,"Cloud Computing, Developer Tools, Metaverse, Operating Systems","London, England, United Kingdom","Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse.","10,707","Europe, Middle East, and Africa (EMEA)",EC2A 2AP,,$10M to $50M,Active,2015-10-03,day,,,,,For Profit,https://www.hadean.com,59,"Hadean are a venture backed startup, reimagining distributed, spatial and scalable computing for web 3.0 and the metaverse. The distributed cloud platform provides the foundations of web 3.0 applications for the metaverse and enterprise organisations alike. Bridging physical and virtual worlds, their technology enables unprecedented scale and fidelity in the digital realm to enhance and improve the physical one. Customers include CAE, Microsoft, Minecraft, the Francis Crick Institute, PixelMax and GamesCoin and BAE Systems. Visit: www.hadean.com",,,,,,,,,"Internet Services, Media and Entertainment, Platforms, Software",,,4,"Aidan Hobson Sayers, Alec Mocatta, Jason Hardjosoekatmo, Rashid Mansoor",51-100,13,,2026-03-11,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,Venture - Series Unknown,87473584,USD,87473584,87571612,USD,87571612,"Alumni Ventures, British Business Bank, Entrepreneurs First, Tencent, Epic Games","Booz Allen Ventures, Ericsson Ventures, Isomer Capital, Luminous Ventures, Microsoft Accelerator London, Molten Ventures, Yuga Labs",7,25
Intelic,https://www.crunchbase.com/organization/avalor-ai,,"Aerospace, Artificial Intelligence (AI), Drones, Military","Amsterdam, Noord-Holland, The Netherlands",Command & Control software for military unmanned systems,"11,649","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.intelic.ai/,9,"Intelic builds Nexus; the command and control interface for unmanned systems, connecting them across air, land and sea to provide a common operational picture. With integrated onboard AI it enables intelligent autonomous missions even in the most demanding environments.",,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software",,,1,Maurits Korthals Altes,11-50,1,Seed,2024-06-19,2000000,EUR,2149426,Seed,2000000,EUR,2149426,Seed,2000000,EUR,2149426,2000000,EUR,2149426,Keen Venture Partners,Keen Venture Partners,1,1
Hypersonica,https://www.crunchbase.com/organization/hypersonica,,"Autonomous Vehicles, Manufacturing, Space Travel","Weßling, Bayern, Germany",Hypersonica develops advanced hypersonic vehicles to enhance Europe's space capabilities.,"12,551","European Union (EU), Europe, Middle East, and Africa (EMEA)",82234,,,Active,2023-01-01,year,,,,,For Profit,https://www.hypersonica.space,3,Hypersonica develops advanced hypersonic vehicles to enhance Europe's space capabilities.,,,,,,,,,"Manufacturing, Transportation",,,,,1-10,2,Early Stage Venture,2026-02-10,23300000,EUR,27740077,Series A,23300000,EUR,27740077,Series A,25800000,EUR,30499234,25800000,EUR,30499234,"General Catalyst, Plural Platform, 201 Ventures, SPRIN-D","General Catalyst, Plural Platform",2,4
Latent AI,https://www.crunchbase.com/organization/latent-ai,,"Artificial Intelligence (AI), Computer, Machine Learning, Software","Princeton, New Jersey, United States",Latent AI accelerates AI implementation and workflows for the enterprise cost-effectively anywhere on the edge continuum with Adaptive AI.,"17,804","East Coast, Northeastern US",08540,,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,http://latentai.com/,46,Latent AI accelerates AI implementation and workflows for the enterprise cost-effectively anywhere on the edge continuum with Adaptive AI.,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,,2,"Jags Kandasamy, Sek Chai",11-50,4,,2026-03-03,,,,Venture - Series Unknown,,,,Venture - Series Unknown,22500000,USD,22500000,22500000,USD,22500000,"Voyager Technologies, Booz Allen Ventures, Blackhorn Ventures, Lockheed Martin Ventures, Future Ventures","AUM Ventures, Blackhorn Ventures, Future Ventures, Voyager Technologies",4,15
Enveil,https://www.crunchbase.com/organization/enveil-inc,,"Analytics, Cloud Data Services, Privacy, Security, Software","Fulton, Maryland, United States","Enveil is a privacy enhancing technology company that specializes in secure data usage, collaboration, and monetization services.","18,891","Greater Baltimore-Maryland Area, East Coast, Southern US",20759,"Women Founded, Women Led",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.enveil.com,44,"Enveil uses homomorphic crypto to protect data interactions including search and analytics. They allow enterprises to securely operate on both encrypted and unencrypted data in the cloud, on-prem, or anywhere in between.",,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software",,,1,Ellison Williams,51-100,4,Early Stage Venture,2022-04-27,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,40000000,USD,40000000,40000000,USD,40000000,"Mastercard, Thomson Reuters, Bloomberg Beta, IQT, 1843 Capital","C5 Capital, DataTribe, USAA",3,11
Red Hat,https://www.crunchbase.com/organization/red-hat,,"Enterprise Software, InsurTech, Linux, Open Source, Operating Systems, Software","Raleigh, North Carolina, United States",Red Hat is a software company that offers enterprise open-source software solutions.,"24,026","Research Triangle, East Coast, Southern US",27601,,$1B to $10B,Active,1993-01-01,year,1999-08-20,day,,,For Profit,http://www.redhat.com,"7,267","Red Hat is a company dedicated to free and open source software, and a major Linux distribution vendor. The company is known for its enterprise operating system Red Hat Enterprise Linux, and more recently through the acquisition of open source enterprise middleware vendor JBoss. Red Hat provides operating system platforms along with middleware, applications, and management solutions, as well as support, training, and consulting services.",,,2,8,,3,18,10,"Financial Services, Platforms, Software",,,3,"Bob Young, Emmanuel Bernard, Marc Ewing",10001+,2,M&A,1999-03-09,,,,Corporate Round,,,,Corporate Round,,,,,,,"Benchmark, Greylock, IBM, Oracle, Intel",,,8
ZeroMark,https://www.crunchbase.com/organization/zeromark,,"Augmented Reality, Government, Law Enforcement, National Security, Robotics","New York, New York, United States",ZeroMark is a defense product company building technology to ensure safety and precision when using kinetic and non lethal weapons.,"24,280","Greater New York Area, East Coast, Northeastern US",10003,,$1M to $10M,Active,2022-08-23,day,,,,,For Profit,https://zeromark.com,15,,,,,,,,,,"Government and Military, Hardware, Privacy and Security, Science and Engineering, Software",,,1,Joel Anderson,1-10,2,Early Stage Venture,2025-09-09,235596,USD,235596,Series A,235596,USD,235596,Series A,7235596,USD,7235596,7235596,USD,7235596,"Andreessen Horowitz, Gaingels, Anorak Ventures, Calm, Ludlow Ventures","Andreessen Horowitz, Ground Up Ventures",2,14
Expert.ai,https://www.crunchbase.com/organization/expert-system,,"Artificial Intelligence (AI), InsurTech, Language Learning, Natural Language Processing, Semantic Search, Software, Text Analytics","Modena, Emilia-Romagna, Italy",Expert.ai is an artificial intelligence platform for language understanding.,"38,561","European Union (EU), Europe, Middle East, and Africa (EMEA)",41123,,$10M to $50M,Active,1989-01-01,year,2014-02-18,day,,,For Profit,https://www.expert.ai,89,"Expert.ai is a developer of enterprise natural language processing (NLP) technologies. Expert.ai is the developer of the software Cogito Discover, which taps AI to perform analytics, extraction, and categorization across taxonomies, making text from XML, RDF, and other formats available for automation and more. Expert.ai also offers Clinical Research Navigator, which supports biomedical clients with a platform designed to drive research into therapies for infectious diseases like COVID-19.",,,,1,,,2,2,"Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Internet Services, Science and Engineering, Software",,,3,"Marco Varone, Paolo Lombardi, Stefano Spaggiari",251-500,3,IPO,2020-08-05,29400000,USD,29400000,Post-IPO Equity,29400000,USD,29400000,Post-IPO Equity,32651662,USD,32651662,32651662,USD,32651662,"Invesco, Indaco Venture Partners, Atlante Ventures",,,3
Plural.com,https://www.crunchbase.com/organization/plural,,"Apps, Artificial Intelligence (AI), Internet, Machine Learning, Marketplace, Mobile Apps, Professional Networking, Skill Assessment, Virtual Workforce","Palo Alto, California, United States",Plural.com is the first AI-driven marketplace for human talent.,"75,677","San Francisco Bay Area, Silicon Valley, West Coast",94025,,Less than $1M,Active,2021-06-01,month,,,,,For Profit,https://plural.com/,,"Plural.com is the first AI-driven marketplace for human talent. Our disruptive approach cuts 80% of the boring work and captures the market horizontally. We achieve this through a holistic understanding of humans, collecting rich data sets that niche incumbents cannot access.",,,,,,,,,"Administrative Services, Apps, Artificial Intelligence (AI), Commerce and Shopping, Community and Lifestyle, Data and Analytics, Education, Internet Services, Mobile, Professional Services, Science and Engineering, Software",,,2,"Ahmed Mohamed, Tim Saval",11-50,1,Seed,2022-02-27,750000,USD,750000,Pre-Seed,750000,USD,750000,Pre-Seed,750000,USD,750000,750000,USD,750000,"7percent Ventures, On Deck, Pareto Holdings, David S. Kidder, Bjoern Zinssmeister",,,9
